similarity_pct,product_a,product_b
97%,MAGNETIC CONTACTOR 240V 12A - SCHNEIDER,MAGNETIC CONTACTOR 240V 32A - SCHNEIDER
97%,MAGNETIC CONTACTOR 240V 25A 4P - ANDELI,MAGNETIC CONTACTOR 240V 32A 4P - ANDELI
97%,MAGNETIC CONTACTOR 240V 25A - SCHNEIDER,MAGNETIC CONTACTOR 240V 32A - SCHNEIDER
97%,LED DIMMER SWITCH 2G 2W 100W - STARLUX,LED DIMMER SWITCH 1G 2W 100W - STARLUX
97%,"LED SURFACE LIGHT RD 10"" 35W WW - HIMAX","LED SURFACE LIGHT RD 10"" 35W WH - HIMAX"
97%,CABLE SINGLE CORE 2.5MM CU/PVC - DUCAB,CABLE SINGLE CORE 1.5MM CU/PVC- DUCAB
97%,PVC SPIRAL WRAPING BAND M8X10MTR-WHI,PVC SPIRAL WRAPING BAND M6X10MTR-WHI
97%,PVC SPLIT CONDUIT BLACK 28MM X 50MTR,PVC SPLIT CONDUIT BLACK 32MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 28MM X 50MTR,PVC SPLIT CONDUIT BLACK 22MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 28MM X 50MTR,PVC SPLIT CONDUIT BLACK 25MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 13MM X 50MTR,PVC SPLIT CONDUIT BLACK 15MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 13MM X 50MTR,PVC SPLIT CONDUIT BLACK 11MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 13MM X 50MTR,PVC SPLIT CONDUIT BLACK 32MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 13MM X 50MTR,PVC SPLIT CONDUIT BLACK 19MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 15MM X 50MTR,PVC SPLIT CONDUIT BLACK 11MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 15MM X 50MTR,PVC SPLIT CONDUIT BLACK 19MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 15MM X 50MTR,PVC SPLIT CONDUIT BLACK 25MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 11MM X 50MTR,PVC SPLIT CONDUIT BLACK 19MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 32MM X 50MTR,PVC SPLIT CONDUIT BLACK 22MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 32MM X 50MTR,PVC SPLIT CONDUIT BLACK 25MM X 50MTR
97%,PVC SPLIT CONDUIT BLACK 22MM X 50MTR,PVC SPLIT CONDUIT BLACK 25MM X 50MTR
97%,CARTRIDGE FUSE 6X25 FOR TOP PLUG 10A,CARTRIDGE FUSE 6X25 FOR TOP PLUG 15A
97%,CARTRIDGE FUSE 6X25 FOR TOP PLUG 10A,CARTRIDGE FUSE 6X25 FOR TOP PLUG 13A
97%,CARTRIDGE FUSE 6X25 FOR TOP PLUG 15A,CARTRIDGE FUSE 6X25 FOR TOP PLUG 13A
97%,DISTRIBUTION BOARD 4+2 TPN - SCHNEIDER,DISTRIBUTION BOARD 4+4 TPN - SCHNEIDER
97%,DISTRIBUTION BOARD 6+4 TPN -SCHNEIDER,DISTRIBUTION BOARD 4+4 TPN - SCHNEIDER
97%,DISTRIBUTION BOARD 10W SPN- INDOASIAN,DISTRIBUTION BOARD 12W SPN - INDOASIAN
97%,EX FAN PVC SQUARE 25CM W GRILL - BENNA,EX FAN PVC SQUARE 20CM W GRILL- BENNA
97%,EXT SOCKET 13A 2W/3MTR - INDIGO / MAXTON,EXT SOCKET 13A 3W/3MTR - INDIGO / MAXTON
